t_sec,event,phase,frame_id,parent_frame_id,start_dsm_depth,run_depth,run_serial,pc,lr,sp,r9,cpsr,ret,mutex_held,thread_id,extra
1.246327,MR_EVENT_FRAME_LEAVE,bridge_mr_event,1,0,0,0,2,0x80000,0x80104,0x280000,0x0,0x200001D3,20210701,0,27960,caseA_no_post_nested_host_reread
3.807361,MUTEX_LOCK_BEGIN,start_dsm,0,0,0,0,2,0x80000,0x80104,0x280000,0x0,0x200001D3,0,0,27960,gwy/gbrwcore.mrp
3.835725,MUTEX_LOCK_END,start_dsm,0,0,0,0,2,0x80000,0x80104,0x280000,0x0,0x200001D3,0,1,27960,gwy/gbrwcore.mrp
3.877829,START_DSM_FRAME_ENTER,unlocked,1,0,1,0,2,0x80000,0x80104,0x280000,0x0,0x200001D3,0,1,27960,file=gwy/gbrwcore.mrp ext=start.mr entry=napptype=12_nextid=482_ncode=512_narg=0_narg1=1_nmrpname=gwy/jjfb.mrp_gwyblink
3.941373,START_DSM_PARAM_ALLOCATED,start_t,1,0,1,0,2,0x80000,0x80104,0x280000,0x0,0x200001D3,0,1,27960,file=gwy/gbrwcore.mrp ext=start.mr entry=napptype=12_nextid=482_ncode=512_narg=0_narg1=1_nmrpname=gwy/jjfb.mrp_gwyblink
4.038708,START_DSM_PARAM_ALLOCATED,strings,1,0,1,0,2,0x80000,0x80104,0x280000,0x0,0x200001D3,0,1,27960,start_g=0x2829D4 fn_g=0x2829E4 ext_g=0x2829FC ent_g=0x282A0C parent_start_legacy=0x2803D4
4.307233,START_DSM_EVENT_ENTER,MR_START_DSM,1,0,1,0,2,0x80000,0x80104,0x280000,0x0,0x200001D3,0,1,27960,start_g=0x2829D4 fn_g=0x2829E4 ext_g=0x2829FC ent_g=0x282A0C parent_start_legacy=0x2803D4
4.341402,MR_EVENT_FRAME_ENTER,bridge_mr_event,2,0,1,0,2,0x80000,0x80104,0x280000,0x0,0x200001D3,-99,1,27960,global_event_t
4.378306,MR_EVENT_FRAME_BEFORE_RUN,bridge_mr_event,2,0,1,0,2,0x80000,0x80104,0x280000,0x0,0x200001D3,-99,1,27960,code_p0_p1_written
24.879564,START_DSM_FRAME_ENTER,unlocked,2,1,2,1,3,0x28025C,0xA2548,0x27FB48,0x280400,0x800001D3,0,1,27960,file=gwy/gamelist.mrp ext=start.mr entry=napptype=12_nextid=482_ncode=512_narg=0_narg1=1_nmrpname=gwy/jjfb.mrp_gwyblink
24.948008,START_DSM_PARAM_ALLOCATED,start_t,2,1,2,1,3,0x28025C,0xA2548,0x27FB48,0x280400,0x800001D3,0,1,27960,file=gwy/gamelist.mrp ext=start.mr entry=napptype=12_nextid=482_ncode=512_narg=0_narg1=1_nmrpname=gwy/jjfb.mrp_gwyblink
25.060707,START_DSM_PARAM_ALLOCATED,strings,2,1,2,1,3,0x28025C,0xA2548,0x27FB48,0x280400,0x800001D3,0,1,27960,start_g=0x682AB4 fn_g=0x682AC4 ext_g=0x682ADC ent_g=0x682AEC parent_start_legacy=0x2803D4
25.464532,START_DSM_EVENT_ENTER,MR_START_DSM,2,1,2,1,3,0x28025C,0xA2548,0x27FB48,0x280400,0x800001D3,0,1,27960,start_g=0x682AB4 fn_g=0x682AC4 ext_g=0x682ADC ent_g=0x682AEC parent_start_legacy=0x2803D4
25.498404,MR_EVENT_FRAME_CLOBBERED,pre_write,3,2,2,1,3,0x28025C,0xA2548,0x27FB48,0x280400,0x800001D3,-99,1,27960,nested_overwrites_global_mr_c_event
25.530572,MR_EVENT_FRAME_ENTER,bridge_mr_event,3,2,2,1,3,0x28025C,0xA2548,0x27FB48,0x280400,0x800001D3,-99,1,27960,global_event_t
25.563027,MR_EVENT_FRAME_BEFORE_RUN,bridge_mr_event,3,2,2,1,3,0x28025C,0xA2548,0x27FB48,0x280400,0x800001D3,-99,1,27960,code_p0_p1_written
64.582917,HELPER_BEFORE_r9_switch_leave,helper_tail,2,1,2,1,3,0x80000,0xA2548,0x27FB48,0x280400,0xA00001D3,2622436,1,27960,HELPER_BEFORE_r9_switch_leave
64.686088,HELPER_AFTER_r9_switch_leave,helper_tail,2,1,2,1,3,0x80000,0xA2548,0x27FB48,0x280400,0xA00001D3,2622436,1,27960,HELPER_AFTER_r9_switch_leave
64.729390,HELPER_BEFORE_uc_reg_read_R0,helper_tail,2,1,2,1,3,0x80000,0xA2548,0x27FB48,0x280400,0xA00001D3,2622436,1,27960,HELPER_BEFORE_uc_reg_read_R0
64.781701,HELPER_AFTER_uc_reg_read_R0,helper_tail,2,1,2,1,3,0x80000,0xA2548,0x27FB48,0x280400,0xA00001D3,0,1,27960,HELPER_AFTER_uc_reg_read_R0
