t_sec,event,depth,serial,pc,lr,sp,r9,cpsr,uc_err,phase,park_owner_depth,park_owner_serial,parked,returned_depth,returned_serial,resumed_parent_depth,resumed_parent_serial
28.665044,UC_EMU_START_RETURN,2,4,0xA9C98,0x282A64,0x27F990,0x280400,0x200001D3,0,start=0xA4178 stop=0x80000,0,0,0,0,0,0,0
29.875014,UC_EMU_START_RETURN,2,4,0xA1864,0x282A64,0x27FA70,0x280400,0x800001D3,0,start=0xA4178 stop=0x80000,0,0,0,0,0,0,0
34.426536,UC_EMU_START_RETURN,2,4,0x92CD0,0x92FE4,0x27F430,0x280400,0x800001D3,0,start=0xA4178 stop=0x80000,0,0,0,0,0,0,0
34.623665,UC_EMU_START_RETURN,2,4,0xA186C,0x282A64,0x27F8C8,0x280400,0x800001D3,0,start=0xA4178 stop=0x80000,0,0,0,0,0,0,0
35.458198,UC_EMU_START_RETURN,2,4,0x8E8F8,0x8E95C,0x27F570,0x280400,0x200001D3,0,start=0xA4178 stop=0x80000,0,0,0,0,0,0,0
35.644941,UC_EMU_START_RETURN,2,4,0x92CF0,0x92FE4,0x27F260,0x280400,0x800001D3,0,start=0xA4178 stop=0x80000,0,0,0,0,0,0,0
35.812606,UC_EMU_START_RETURN,2,4,0x92CC0,0xD0158,0x27F260,0x280400,0x800001D3,0,start=0xA4178 stop=0x80000,0,0,0,0,0,0,0
35.994370,UC_EMU_START_RETURN,2,4,0x92DE8,0xD0158,0x27F260,0x280400,0x800001D3,0,start=0xA4178 stop=0x80000,0,0,0,0,0,0,0
36.199108,UC_EMU_START_RETURN,2,4,0x92F78,0x146D3,0x27F260,0x280400,0x200001D3,0,start=0xA4178 stop=0x80000,0,0,0,0,0,0,0
36.399835,UC_EMU_START_RETURN,2,4,0x92D58,0xD0158,0x27F260,0x280400,0x200001D3,0,start=0xA4178 stop=0x80000,0,0,0,0,0,0,0
36.548999,UC_EMU_START_RETURN,2,4,0x92CC0,0x92FE4,0x27F260,0x280400,0x800001D3,0,start=0xA4178 stop=0x80000,0,0,0,0,0,0,0
36.754063,UC_EMU_START_RETURN,2,4,0x92F4C,0x7F,0x27F260,0x280400,0x800001D3,0,start=0xA4178 stop=0x80000,0,0,0,0,0,0,0
36.993507,UC_EMU_START_RETURN,2,4,0x92D18,0x92FE4,0x27F260,0x280400,0x600001D3,0,start=0xA4178 stop=0x80000,0,0,0,0,0,0,0
37.194288,UC_EMU_START_RETURN,2,4,0x92FB4,0x4CD,0x27F260,0x280400,0x200001D3,0,start=0xA4178 stop=0x80000,0,0,0,0,0,0,0
37.404876,UC_EMU_START_RETURN,2,4,0x92DDC,0x92FE4,0x27F260,0x280400,0x800001D3,0,start=0xA4178 stop=0x80000,0,0,0,0,0,0,0
37.626374,UC_EMU_START_RETURN,2,4,0x92D04,0xD0158,0x27F260,0x280400,0x200001D3,0,start=0xA4178 stop=0x80000,0,0,0,0,0,0,0
37.842969,UC_EMU_START_RETURN,2,4,0x92DD8,0xD0158,0x27F260,0x280400,0x800001D3,0,start=0xA4178 stop=0x80000,0,0,0,0,0,0,0
38.030223,UC_EMU_START_RETURN,2,4,0x92CF4,0xD0158,0x27F260,0x280400,0x800001D3,0,start=0xA4178 stop=0x80000,0,0,0,0,0,0,0
38.228815,UC_EMU_START_RETURN,2,4,0x92F6C,0x57,0x27F260,0x280400,0x200001D3,0,start=0xA4178 stop=0x80000,0,0,0,0,0,0,0
38.448552,UC_EMU_START_RETURN,2,4,0x9301C,0x92FE4,0x27F260,0x280400,0x600001D3,0,start=0xA4178 stop=0x80000,0,0,0,0,0,0,0
38.666392,UC_EMU_START_RETURN,2,4,0x92CB8,0xD0158,0x27F260,0x280400,0x800001D3,0,start=0xA4178 stop=0x80000,0,0,0,0,0,0,0
38.860532,UC_EMU_START_RETURN,2,4,0x92DD4,0x92FE4,0x27F260,0x280400,0x800001D3,0,start=0xA4178 stop=0x80000,0,0,0,0,0,0,0
39.075065,UC_EMU_START_RETURN,2,4,0x92F98,0x127,0x27F260,0x280400,0x800001D3,0,start=0xA4178 stop=0x80000,0,0,0,0,0,0,0
39.243597,UC_EMU_START_RETURN,2,4,0x92808,0x2AEC0C,0x27ECE8,0x280400,0x800001D3,0,start=0xA4178 stop=0x80000,0,0,0,0,0,0,0
39.475436,UC_EMU_START_RETURN,2,4,0x92CEC,0xD0158,0x27F260,0x280400,0x800001D3,0,start=0xA4178 stop=0x80000,0,0,0,0,0,0,0
39.677713,UC_EMU_START_RETURN,2,4,0x92CC8,0xD0158,0x27F260,0x280400,0x800001D3,0,start=0xA4178 stop=0x80000,0,0,0,0,0,0,0
39.884877,UC_EMU_START_RETURN,2,4,0x92D8C,0xD0158,0x27F260,0x280400,0x200001D3,0,start=0xA4178 stop=0x80000,0,0,0,0,0,0,0
40.067405,UC_EMU_START_RETURN,2,4,0x92DC0,0x92FE4,0x27F260,0x280400,0x600001D3,0,start=0xA4178 stop=0x80000,0,0,0,0,0,0,0
40.271785,UC_EMU_START_RETURN,2,4,0x92F44,0x13,0x27F260,0x280400,0x800001D3,0,start=0xA4178 stop=0x80000,0,0,0,0,0,0,0
40.459011,UC_EMU_START_RETURN,2,4,0x92D10,0xD0158,0x27F260,0x280400,0x200001D3,0,start=0xA4178 stop=0x80000,0,0,0,0,0,0,0
40.688310,UC_EMU_START_RETURN,2,4,0x92D48,0xD0158,0x27F260,0x280400,0x800001D3,0,start=0xA4178 stop=0x80000,0,0,0,0,0,0,0
40.872519,UC_EMU_START_RETURN,2,4,0x92DC4,0xD0158,0x27F260,0x280400,0x600001D3,0,start=0xA4178 stop=0x80000,0,0,0,0,0,0,0
40.953538,UC_EMU_START_RETURN,2,4,0xA40D0,0xD017C,0x27F7C4,0x280400,0x200001D3,0,start=0xA4178 stop=0x80000,0,0,0,0,0,0,0
41.035138,UC_EMU_START_RETURN,2,4,0xA40C8,0xD017C,0x27F7C4,0x280400,0x200001D3,0,start=0xA4178 stop=0x80000,0,0,0,0,0,0,0
41.119129,UC_EMU_START_RETURN,2,4,0xA40C0,0xD017C,0x27F7C4,0x280400,0x200001D3,0,start=0xA4178 stop=0x80000,0,0,0,0,0,0,0
41.205090,UC_EMU_START_RETURN,2,4,0xA40B8,0xD017C,0x27F7C4,0x280400,0x200001D3,0,start=0xA4178 stop=0x80000,0,0,0,0,0,0,0
41.288580,UC_EMU_START_RETURN,2,4,0xA40CC,0xD017C,0x27F7C4,0x280400,0x200001D3,0,start=0xA4178 stop=0x80000,0,0,0,0,0,0,0
41.379918,UC_EMU_START_RETURN,2,4,0xA40C4,0xD017C,0x27F7C4,0x280400,0x200001D3,0,start=0xA4178 stop=0x80000,0,0,0,0,0,0,0
41.458154,UC_EMU_START_RETURN,2,4,0x98AF4,0xA66B4,0x27F800,0x280400,0x600001D3,0,start=0xA4178 stop=0x80000,0,0,0,0,0,0,0
46.240810,UC_EMU_START_RETURN,2,4,0xACB5C,0x971EC,0x27F910,0x280400,0x200001D3,0,start=0xA4178 stop=0x80000,0,0,0,0,0,0,0
65.238065,UC_EMU_START_RETURN,2,4,0x80000,0xA2548,0x27FB48,0x280400,0xA00001D3,0,start=0xA4178 stop=0x80000,0,0,0,0,0,0,0
65.283962,RUN_CODE_LEAVE,2,4,0x80000,0xA2548,0x27FB48,0x280400,0xA00001D3,0,start=0xA4178 stop=0x80000,0,0,0,0,0,0,0
65.332268,RUN_CODE_CALLER_RESUME,1,3,0x80000,0xA2548,0x27FB48,0x280400,0xA00001D3,0,start=0xA4178 stop=0x80000,0,0,0,2,4,1,3
68.101462,RUN_CODE_ENTER,2,5,0x28025C,0xA2548,0x27FB48,0x682B8C,0x800001D3,0,start=0x2E3098 stop=0x80000,0,0,0,0,0,0,0
68.736372,UC_EMU_START_RETURN,2,5,0x80000,0x2E35E7,0x27FB48,0x682B8C,0x400001D3,0,start=0x2E3098 stop=0x80000,0,0,0,0,0,0,0
68.782182,RUN_CODE_LEAVE,2,5,0x80000,0x2E35E7,0x27FB48,0x682B8C,0x400001D3,0,start=0x2E3098 stop=0x80000,0,0,0,0,0,0,0
68.829321,RUN_CODE_CALLER_RESUME,1,3,0x80000,0x2E35E7,0x27FB48,0x682B8C,0x400001D3,0,start=0x2E3098 stop=0x80000,0,0,0,2,5,1,3
68.963302,PARK_SET,1,3,0xDEAD0000,0xDEAD0000,0x27FB48,0x280400,0x800001D3,0,shell_core_continue,1,3,1,0,0,0,0
69.056046,EMU_STOP_REQUESTED,1,3,0xDEAD0000,0xDEAD0000,0x27FB48,0x280400,0x800001D3,0,shell_core_continue,1,3,1,0,0,0,0
69.219983,UC_EMU_START_RETURN,1,3,0x5F726D5E,0x8E6D4,0x27FB48,0x280400,0x200001F3,8,start=0xA4178 stop=0x80000,1,3,1,0,0,0,0
69.262692,RUN_CODE_BREAK_OWNER,1,3,0x5F726D5E,0x8E6D4,0x27FB48,0x280400,0x200001F3,8,start=0xA4178 stop=0x80000,1,3,1,0,0,0,0
69.316242,PARK_CONSUMED_BY_OWNER,1,3,0x5F726D5E,0x8E6D4,0x27FB48,0x280400,0x200001F3,0,start=0xA4178 stop=0x80000,1,3,1,0,0,0,0
69.367361,RUN_CODE_LEAVE,1,3,0x5F726D5E,0x8E6D4,0x27FB48,0x280400,0x200001F3,0,start=0xA4178 stop=0x80000,0,0,0,0,0,0,0
69.408798,RUN_CODE_CALLER_RESUME,0,5,0x5F726D5E,0x8E6D4,0x27FB48,0x280400,0x200001F3,0,start=0xA4178 stop=0x80000,0,0,0,1,3,0,0
71.220835,HOST_LOOP_REENTER,0,5,0x80000,0x80104,0x280000,0x280400,0x200001D3,0,start_dsm_unlock,0,0,0,0,0,0,0
