seq,pc,off,addr,size,old,new,lr,sp,phase,kind,note,stack0,stack1,stack2,stack3
1022,0x92CE0,0x12CE0,0x28065C,4,0x83BA,0x83BB,0xD0158,0x27F718,during_opcode,watched,"mod=cfunction.ext",0x3F,0x1FF,0x2EB808,0x2ED398
1023,0x92F54,0x12F54,0x28065C,4,0x83BB,0x83BC,0x7,0x27F718,during_opcode,watched,"mod=cfunction.ext",0x3F,0x1FF,0x2EB808,0x2ED398
1024,0x92CE0,0x12CE0,0x28065C,4,0x83BC,0x83BD,0x92FE4,0x27F718,during_opcode,watched,"mod=cfunction.ext",0x3F,0x1FF,0x2EB808,0x2ED398
1025,0x92CE0,0x12CE0,0x28065C,4,0x83BD,0x83BE,0x92FE4,0x27F718,during_opcode,watched,"mod=cfunction.ext",0x3F,0x1FF,0x2EB808,0x2ED398
1026,0x92F54,0x12F54,0x28065C,4,0x83BE,0x83BF,0x27,0x27F718,during_opcode,watched,"mod=cfunction.ext",0x3F,0x1FF,0x2EB808,0x2ED398
1027,0x92CE0,0x12CE0,0x28065C,4,0x83BF,0x83C0,0x92FE4,0x27F718,during_opcode,watched,"mod=cfunction.ext",0x3F,0x1FF,0x2EB808,0x2ED398
1028,0x92CE0,0x12CE0,0x28065C,4,0x83C0,0x83C1,0x92FE4,0x27F718,during_opcode,watched,"mod=cfunction.ext",0x3F,0x1FF,0x2EB808,0x2ED398
1029,0x92CE0,0x12CE0,0x28065C,4,0x83C1,0x83C2,0x92FE4,0x27F718,during_opcode,watched,"mod=cfunction.ext",0x3F,0x1FF,0x2EB808,0x2ED398
1030,0x92CE0,0x12CE0,0x28065C,4,0x83C2,0x83C3,0x92FE4,0x27F718,during_opcode,watched,"mod=cfunction.ext",0x3F,0x1FF,0x2EB808,0x2ED398
1031,0x92CE0,0x12CE0,0x28065C,4,0x83C3,0x83C4,0x92FE4,0x27F718,during_opcode,watched,"mod=cfunction.ext",0x3F,0x1FF,0x2EB808,0x2ED398
1032,0x92CE0,0x12CE0,0x28065C,4,0x83C4,0x83C5,0x92FE4,0x27F718,during_opcode,watched,"mod=cfunction.ext",0x3F,0x1FF,0x2EB808,0x2ED398
1033,0x92CE0,0x12CE0,0x28065C,4,0x83C5,0x83C6,0x92FE4,0x27F718,during_opcode,watched,"mod=cfunction.ext",0x3F,0x1FF,0x2EB808,0x2ED398
1034,0x92CE0,0x12CE0,0x28065C,4,0x83C6,0x83C7,0xD0158,0x27F718,during_opcode,watched,"mod=cfunction.ext",0x3F,0x1FF,0x2EB808,0x2ED398
