t_sec,event,depth,serial,pc,lr,sp,r9,cpsr,uc_err,phase,park_owner_depth,park_owner_serial,parked
13.229388,UC_EMU_START_RETURN,1,3,0x92DB4,0x92FE4,0x27F718,0x280400,0x600001D3,0,start=0xA4178 stop=0x80000,0,0,0
13.359915,UC_EMU_START_RETURN,1,3,0x92CD4,0x92FE4,0x27F718,0x280400,0x800001D3,0,start=0xA4178 stop=0x80000,0,0,0
13.513382,UC_EMU_START_RETURN,1,3,0x92E30,0x92FE4,0x27F718,0x280400,0x200001D3,0,start=0xA4178 stop=0x80000,0,0,0
13.681584,UC_EMU_START_RETURN,1,3,0x92D08,0x92FE4,0x27F718,0x280400,0x600001D3,0,start=0xA4178 stop=0x80000,0,0,0
13.819430,UC_EMU_START_RETURN,1,3,0x92CF4,0xD0158,0x27F718,0x280400,0x800001D3,0,start=0xA4178 stop=0x80000,0,0,0
13.967332,UC_EMU_START_RETURN,1,3,0x92CE4,0x92FE4,0x27F718,0x280400,0x800001D3,0,start=0xA4178 stop=0x80000,0,0,0
14.148343,UC_EMU_START_RETURN,1,3,0x92CCC,0x92FE4,0x27F718,0x280400,0x800001D3,0,start=0xA4178 stop=0x80000,0,0,0
14.317925,UC_EMU_START_RETURN,1,3,0x92CF4,0x92FE4,0x27F718,0x280400,0x800001D3,0,start=0xA4178 stop=0x80000,0,0,0
14.498009,UC_EMU_START_RETURN,1,3,0x92D3C,0xD0158,0x27F718,0x280400,0x800001D3,0,start=0xA4178 stop=0x80000,0,0,0
14.669763,UC_EMU_START_RETURN,1,3,0x92DB4,0xD0158,0x27F718,0x280400,0x800001D3,0,start=0xA4178 stop=0x80000,0,0,0
14.836206,UC_EMU_START_RETURN,1,3,0x932B8,0x2AF914,0x27F750,0x280400,0x200001D3,0,start=0xA4178 stop=0x80000,0,0,0
14.940439,UC_EMU_START_RETURN,1,3,0x92DB4,0x92FE4,0x27F718,0x280400,0x800001D3,0,start=0xA4178 stop=0x80000,0,0,0
15.095061,UC_EMU_START_RETURN,1,3,0x92D00,0x92FE4,0x27F718,0x280400,0x200001D3,0,start=0xA4178 stop=0x80000,0,0,0
15.250849,UC_EMU_START_RETURN,1,3,0x92D04,0xD0158,0x27F718,0x280400,0x200001D3,0,start=0xA4178 stop=0x80000,0,0,0
15.394624,UC_EMU_START_RETURN,1,3,0x92DC0,0x92FE4,0x27F718,0x280400,0x600001D3,0,start=0xA4178 stop=0x80000,0,0,0
15.537111,UC_EMU_START_RETURN,1,3,0x92E84,0x92FE4,0x27F718,0x280400,0x200001D3,0,start=0xA4178 stop=0x80000,0,0,0
15.696489,UC_EMU_START_RETURN,1,3,0x92DA4,0xD0158,0x27F718,0x280400,0x600001D3,0,start=0xA4178 stop=0x80000,0,0,0
15.836455,UC_EMU_START_RETURN,1,3,0x92CF4,0x92FE4,0x27F718,0x280400,0x800001D3,0,start=0xA4178 stop=0x80000,0,0,0
15.996512,UC_EMU_START_RETURN,1,3,0x92CCC,0x92FE4,0x27F718,0x280400,0x800001D3,0,start=0xA4178 stop=0x80000,0,0,0
16.171581,UC_EMU_START_RETURN,1,3,0x92CFC,0x92FE4,0x27F718,0x280400,0x200001D3,0,start=0xA4178 stop=0x80000,0,0,0
16.256357,UC_EMU_START_RETURN,1,3,0xA40BC,0xD017C,0x27FC7C,0x280400,0x200001D3,0,start=0xA4178 stop=0x80000,0,0,0
16.318844,UC_EMU_START_RETURN,1,3,0xA40D0,0xD017C,0x27FC7C,0x280400,0x200001D3,0,start=0xA4178 stop=0x80000,0,0,0
16.382907,UC_EMU_START_RETURN,1,3,0xA40C8,0xD017C,0x27FC7C,0x280400,0x200001D3,0,start=0xA4178 stop=0x80000,0,0,0
16.448474,UC_EMU_START_RETURN,1,3,0xA40C0,0xD017C,0x27FC7C,0x280400,0x200001D3,0,start=0xA4178 stop=0x80000,0,0,0
16.512258,UC_EMU_START_RETURN,1,3,0xA40B8,0xD017C,0x27FC7C,0x280400,0x200001D3,0,start=0xA4178 stop=0x80000,0,0,0
16.575953,UC_EMU_START_RETURN,1,3,0xA40CC,0xD017C,0x27FC7C,0x280400,0x200001D3,0,start=0xA4178 stop=0x80000,0,0,0
16.639556,UC_EMU_START_RETURN,1,3,0xA40C4,0xD017C,0x27FC7C,0x280400,0x200001D3,0,start=0xA4178 stop=0x80000,0,0,0
16.702398,UC_EMU_START_RETURN,1,3,0xA40BC,0xD017C,0x27FC7C,0x280400,0x200001D3,0,start=0xA4178 stop=0x80000,0,0,0
16.767454,UC_EMU_START_RETURN,1,3,0xA40D0,0xD017C,0x27FC7C,0x280400,0x200001D3,0,start=0xA4178 stop=0x80000,0,0,0
16.832634,UC_EMU_START_RETURN,1,3,0xA40C8,0xD017C,0x27FC7C,0x280400,0x200001D3,0,start=0xA4178 stop=0x80000,0,0,0
22.247338,BR_EXIT_ENTER,1,3,0x28025C,0xA2548,0x27FB48,0x2B0D18,0x800001D3,0,exit,0,0,0
23.281795,RUN_CODE_ENTER,2,4,0x28025C,0xA2548,0x27FB48,0x280400,0x800001D3,0,start=0xA4178 stop=0x80000,0,0,0
25.042447,UC_EMU_START_RETURN,2,4,0xA9C98,0x282A54,0x27F990,0x280400,0x200001D3,0,start=0xA4178 stop=0x80000,0,0,0
26.243549,UC_EMU_START_RETURN,2,4,0x9B94C,0xA5790,0x27FA98,0x280400,0x600001D3,0,start=0xA4178 stop=0x80000,0,0,0
30.615003,UC_EMU_START_RETURN,2,4,0x92CE4,0x92FE4,0x27F430,0x280400,0x800001D3,0,start=0xA4178 stop=0x80000,0,0,0
30.793048,UC_EMU_START_RETURN,2,4,0xA2588,0x9B354,0x27F8D8,0x280400,0x1D3,0,start=0xA4178 stop=0x80000,0,0,0
31.558637,UC_EMU_START_RETURN,2,4,0x8E960,0x8E95C,0x27F570,0x280400,0x800001D3,0,start=0xA4178 stop=0x80000,0,0,0
31.722426,UC_EMU_START_RETURN,2,4,0x92DD0,0x92FE4,0x27F260,0x280400,0x600001D3,0,start=0xA4178 stop=0x80000,0,0,0
31.867973,UC_EMU_START_RETURN,2,4,0x92D18,0xD0158,0x27F260,0x280400,0x200001D3,0,start=0xA4178 stop=0x80000,0,0,0
32.000157,UC_EMU_START_RETURN,2,4,0x92DB0,0xD0158,0x27F260,0x280400,0x600001D3,0,start=0xA4178 stop=0x80000,0,0,0
32.155911,UC_EMU_START_RETURN,2,4,0x92E34,0xD0158,0x27F260,0x280400,0x200001D3,0,start=0xA4178 stop=0x80000,0,0,0
32.320799,UC_EMU_START_RETURN,2,4,0x92FEC,0x92FE4,0x27F260,0x280400,0x200001D3,0,start=0xA4178 stop=0x80000,0,0,0
32.456793,UC_EMU_START_RETURN,2,4,0x92DD8,0x92FE4,0x27F260,0x280400,0x800001D3,0,start=0xA4178 stop=0x80000,0,0,0
32.629005,UC_EMU_START_RETURN,2,4,0x92DE8,0x92FE4,0x27F260,0x280400,0x800001D3,0,start=0xA4178 stop=0x80000,0,0,0
32.799456,UC_EMU_START_RETURN,2,4,0x92D08,0x92FE4,0x27F260,0x280400,0x200001D3,0,start=0xA4178 stop=0x80000,0,0,0
32.961737,UC_EMU_START_RETURN,2,4,0x92E84,0x92FE4,0x27F260,0x280400,0x200001D3,0,start=0xA4178 stop=0x80000,0,0,0
33.098264,UC_EMU_START_RETURN,2,4,0x92DCC,0x92FE4,0x27F260,0x280400,0x600001D3,0,start=0xA4178 stop=0x80000,0,0,0
33.263849,UC_EMU_START_RETURN,2,4,0x92D5C,0xD0158,0x27F260,0x280400,0x600001D3,0,start=0xA4178 stop=0x80000,0,0,0
33.436647,UC_EMU_START_RETURN,2,4,0x92DC8,0xD0158,0x27F260,0x280400,0x600001D3,0,start=0xA4178 stop=0x80000,0,0,0
33.577598,UC_EMU_START_RETURN,2,4,0x92CE4,0xD0158,0x27F260,0x280400,0x800001D3,0,start=0xA4178 stop=0x80000,0,0,0
33.734200,UC_EMU_START_RETURN,2,4,0x92CF0,0x92FE4,0x27F260,0x280400,0x800001D3,0,start=0xA4178 stop=0x80000,0,0,0
33.907776,UC_EMU_START_RETURN,2,4,0x92F40,0x4B,0x27F260,0x280400,0x800001D3,0,start=0xA4178 stop=0x80000,0,0,0
34.069562,UC_EMU_START_RETURN,2,4,0x92DD0,0xD0158,0x27F260,0x280400,0x600001D3,0,start=0xA4178 stop=0x80000,0,0,0
34.220614,UC_EMU_START_RETURN,2,4,0x92DC4,0x92FE4,0x27F260,0x280400,0x600001D3,0,start=0xA4178 stop=0x80000,0,0,0
34.387631,UC_EMU_START_RETURN,2,4,0x92E34,0xD0158,0x27F260,0x280400,0x200001D3,0,start=0xA4178 stop=0x80000,0,0,0
34.512129,UC_EMU_START_RETURN,2,4,0x92788,0x2AEBF0,0x27ECE8,0x280400,0x800001D3,0,start=0xA4178 stop=0x80000,0,0,0
34.646344,UC_EMU_START_RETURN,2,4,0x92CDC,0xD0158,0x27F260,0x280400,0x800001D3,0,start=0xA4178 stop=0x80000,0,0,0
34.815588,UC_EMU_START_RETURN,2,4,0x92D20,0x92FE4,0x27F260,0x280400,0x200001D3,0,start=0xA4178 stop=0x80000,0,0,0
34.982418,UC_EMU_START_RETURN,2,4,0x92CBC,0x92FE4,0x27F260,0x280400,0x600001D3,0,start=0xA4178 stop=0x80000,0,0,0
35.130891,UC_EMU_START_RETURN,2,4,0x92DB0,0x92FE4,0x27F260,0x280400,0x600001D3,0,start=0xA4178 stop=0x80000,0,0,0
35.301729,UC_EMU_START_RETURN,2,4,0x92CFC,0x92FE4,0x27F260,0x280400,0x200001D3,0,start=0xA4178 stop=0x80000,0,0,0
35.460732,UC_EMU_START_RETURN,2,4,0x92D88,0xD0158,0x27F260,0x280400,0x200001D3,0,start=0xA4178 stop=0x80000,0,0,0
35.648693,UC_EMU_START_RETURN,2,4,0x92DC0,0x92FE4,0x27F260,0x280400,0x600001D3,0,start=0xA4178 stop=0x80000,0,0,0
35.802931,UC_EMU_START_RETURN,2,4,0x92DB4,0xD0158,0x27F260,0x280400,0x600001D3,0,start=0xA4178 stop=0x80000,0,0,0
35.866877,UC_EMU_START_RETURN,2,4,0xA40C8,0xD017C,0x27F7C4,0x280400,0x200001D3,0,start=0xA4178 stop=0x80000,0,0,0
35.930819,UC_EMU_START_RETURN,2,4,0xA40C0,0xD017C,0x27F7C4,0x280400,0x200001D3,0,start=0xA4178 stop=0x80000,0,0,0
35.995267,UC_EMU_START_RETURN,2,4,0xA40B8,0xD017C,0x27F7C4,0x280400,0x200001D3,0,start=0xA4178 stop=0x80000,0,0,0
36.060338,UC_EMU_START_RETURN,2,4,0xA40CC,0xD017C,0x27F7C4,0x280400,0x200001D3,0,start=0xA4178 stop=0x80000,0,0,0
36.124998,UC_EMU_START_RETURN,2,4,0xA40C4,0xD017C,0x27F7C4,0x280400,0x200001D3,0,start=0xA4178 stop=0x80000,0,0,0
36.187585,UC_EMU_START_RETURN,2,4,0xA40BC,0xD017C,0x27F7C4,0x280400,0x200001D3,0,start=0xA4178 stop=0x80000,0,0,0
36.252056,UC_EMU_START_RETURN,2,4,0x98934,0xA9A28,0x27F898,0x280400,0x800001D3,0,start=0xA4178 stop=0x80000,0,0,0
40.687826,UC_EMU_START_RETURN,2,4,0x971DC,0x971EC,0x27F928,0x280400,0x200001D3,0,start=0xA4178 stop=0x80000,0,0,0
57.369867,UC_EMU_START_RETURN,2,4,0x80000,0xA2548,0x27FB48,0x280400,0xA00001D3,0,start=0xA4178 stop=0x80000,0,0,0
57.401714,RUN_CODE_LEAVE,2,4,0x80000,0xA2548,0x27FB48,0x280400,0xA00001D3,0,start=0xA4178 stop=0x80000,0,0,0
57.434429,RUN_CODE_CALLER_RESUME,1,3,0x80000,0xA2548,0x27FB48,0x280400,0xA00001D3,0,start=0xA4178 stop=0x80000,0,0,0
61.418423,RUN_CODE_ENTER,2,5,0x28025C,0xA2548,0x27FB48,0x682B6C,0x800001D3,0,start=0x2E3088 stop=0x80000,0,0,0
61.936049,UC_EMU_START_RETURN,2,5,0x80000,0x2E35D7,0x27FB48,0x682B6C,0x400001D3,0,start=0x2E3088 stop=0x80000,0,0,0
61.963177,RUN_CODE_LEAVE,2,5,0x80000,0x2E35D7,0x27FB48,0x682B6C,0x400001D3,0,start=0x2E3088 stop=0x80000,0,0,0
61.992231,RUN_CODE_CALLER_RESUME,1,3,0x80000,0x2E35D7,0x27FB48,0x682B6C,0x400001D3,0,start=0x2E3088 stop=0x80000,0,0,0
62.074971,PARK_SET,1,3,0xDEAD0000,0xDEAD0000,0x27FB48,0x280400,0x800001D3,0,shell_core_continue,1,3,1
62.117743,EMU_STOP_REQUESTED,1,3,0xDEAD0000,0xDEAD0000,0x27FB48,0x280400,0x800001D3,0,shell_core_continue,1,3,1
62.208898,UC_EMU_START_RETURN,1,3,0x5F726D5E,0x8E6D4,0x27FB48,0x280400,0x200001F3,8,start=0xA4178 stop=0x80000,1,3,1
62.236006,RUN_CODE_BREAK_OWNER,1,3,0x5F726D5E,0x8E6D4,0x27FB48,0x280400,0x200001F3,8,start=0xA4178 stop=0x80000,1,3,1
62.277095,PARK_CONSUMED_BY_OWNER,1,3,0x5F726D5E,0x8E6D4,0x27FB48,0x280400,0x200001F3,0,start=0xA4178 stop=0x80000,1,3,1
62.314051,RUN_CODE_LEAVE,1,3,0x5F726D5E,0x8E6D4,0x27FB48,0x280400,0x200001F3,0,start=0xA4178 stop=0x80000,0,0,0
62.346519,RUN_CODE_CALLER_RESUME,0,5,0x5F726D5E,0x8E6D4,0x27FB48,0x280400,0x200001F3,0,start=0xA4178 stop=0x80000,0,0,0
