role,source,offset,target_mrp,candidate_record_index_272,candidate_record_start,pre32_hex,post64_hex
loose_runtime_cfg,gwy/cfg.bin,15703,gwy/caclottery.mrp,53,15440,6c76d80000000000000000000000000000000000013e800000000200061a8101,6777792f6361636c6f74746572792e6d7270000000000000000000000000000000000000000000000f0d0409080305ffffffffffffffffffffffffff00000000
loose_runtime_cfg,gwy/cfg.bin,15967,gwy/cacachmt.mrp,54,15712,a100000000000000000000000000000000000000013480000000020000000001,6777792f6361636163686d742e6d727000000000000000000000000000000000000000000000000003ffffffffffffffffffffffffffffffffffffff00000000
loose_runtime_cfg,gwy/cfg.bin,16231,gwy/cacprize.mrp,55,15984,c100000000000000000000000000000000000000013a00000000020000000001,6777792f6361637072697a652e6d7270000000000000000000000000000000000000000000000000030d04090f0805ffffffffffffffffffffffffff00000000
loose_runtime_cfg,gwy/cfg.bin,16495,gwy/cacddz.mrp,56,16256,d48d5b0000000000000000000000000000000000013b02c8000101000003f001,6777792f63616364647a2e6d727000000000000000000000000000000000000000000000000000000b10030d0e0f04090805ffffffffffffffffffff00000000
loose_runtime_cfg,gwy/cfg.bin,16759,gwy/wapgame.mrp,57,16528,5100000000000000000000000000000000000000012a01000687f40000b3f000,6777792f77617067616d652e6d727000000000000000000000000000000000000000000000000000000102030409ffffffffffffffffffffffffffff00000000
loose_runtime_cfg,gwy/cfg.bin,17023,gwy/cacxq.mrp,58,16800,6168cb0000000000000000000000000000000000013202c600030000061a8101,6777792f63616378712e6d72700000000000000000000000000000000000000000000000000000000b0c030d0f040908ffffffffffffffffffffffff00000000
loose_runtime_cfg,gwy/cfg.bin,17287,gwy/cacermj.mrp,59,17072,bb5c060000000000000000000000000000000000013202c600070000061a8101,6777792f63616365726d6a2e6d7270000000000000000000000000000000000000000000000000000b0c030d0f04090805ffffffffffffffffffffff00000000
loose_runtime_cfg,gwy/cfg.bin,17551,gwy/cacsk.mrp,60,17344,0000000000000000000000000000000000000000013202c600090200061a8101,6777792f636163736b2e6d72700000000000000000000000000000000000000000000000000000000b0c030d0f04090805ffffffffffffffffffffff00000000
loose_runtime_cfg,gwy/cfg.bin,17815,gwy/cacxq.mrp,61,17616,cb59566c608d5b00000000000000000000000000013b02c800030000061a8101,6777792f63616378712e6d72700000000000000000000000000000000000000000000000000000000b10030d0f04090805ffffffffffffffffffffff00000000
loose_runtime_cfg,gwy/cfg.bin,18079,gwy/cacusr.mrp,62,17888,374e2d5fc3000000000000000000000000000000013580000000020000000001,6777792f6361637573722e6d727000000000000000000000000000000000000000000000000000000f0311121314ffffffffffffffffffffffffffff00000000
