target_mrp,side_pack_dir,pack_name,pack_path,member_count,appid,appver,sha256,is_downimage,ready
C:\Users\24231\Desktop\jjfb_pc_vmrp_bootkit\game_files\mythroad\320x480\gwy\jjfb.mrp,C:\Users\24231\Desktop\jjfb_pc_vmrp_bootkit\game_files\mythroad\320x480\gwy/jjfbol,monster2,C:\Users\24231\Desktop\jjfb_pc_vmrp_bootkit\game_files\mythroad\320x480\gwy/jjfbol/monster2.mrp,47,0x7534,0x65,d4e31397923a5326f5a05d8377a51743b2b38de36595e7f316e450df386b630f,0,1
C:\Users\24231\Desktop\jjfb_pc_vmrp_bootkit\game_files\mythroad\320x480\gwy\jjfb.mrp,C:\Users\24231\Desktop\jjfb_pc_vmrp_bootkit\game_files\mythroad\320x480\gwy/jjfbol,monster3,C:\Users\24231\Desktop\jjfb_pc_vmrp_bootkit\game_files\mythroad\320x480\gwy/jjfbol/monster3.mrp,47,0x7534,0x65,de714522b7b0131822bf43b924d37f419e3da61f6042fbd679d35449b0988674,0,1
C:\Users\24231\Desktop\jjfb_pc_vmrp_bootkit\game_files\mythroad\320x480\gwy\jjfb.mrp,C:\Users\24231\Desktop\jjfb_pc_vmrp_bootkit\game_files\mythroad\320x480\gwy/jjfbol,monster4,C:\Users\24231\Desktop\jjfb_pc_vmrp_bootkit\game_files\mythroad\320x480\gwy/jjfbol/monster4.mrp,51,0x7534,0x65,044ebf7648919acf88b243eaf8c772d3f25542d9c2bba950887505656f1b10d3,0,1
C:\Users\24231\Desktop\jjfb_pc_vmrp_bootkit\game_files\mythroad\320x480\gwy\jjfb.mrp,C:\Users\24231\Desktop\jjfb_pc_vmrp_bootkit\game_files\mythroad\320x480\gwy/jjfbol,monster5,C:\Users\24231\Desktop\jjfb_pc_vmrp_bootkit\game_files\mythroad\320x480\gwy/jjfbol/monster5.mrp,57,0x7534,0x65,368a276b029de15dba3eab93ce2f0343265cc8dc3010e60d4c307c10f0405d39,0,1
C:\Users\24231\Desktop\jjfb_pc_vmrp_bootkit\game_files\mythroad\320x480\gwy\jjfb.mrp,C:\Users\24231\Desktop\jjfb_pc_vmrp_bootkit\game_files\mythroad\320x480\gwy/jjfbol,monster6,C:\Users\24231\Desktop\jjfb_pc_vmrp_bootkit\game_files\mythroad\320x480\gwy/jjfbol/monster6.mrp,39,0x7534,0x65,ff4ff570667d270e5255344f3e18c2e59ff1a0c174ede28888ce1d24180600d3,0,1
C:\Users\24231\Desktop\jjfb_pc_vmrp_bootkit\game_files\mythroad\320x480\gwy\jjfb.mrp,C:\Users\24231\Desktop\jjfb_pc_vmrp_bootkit\game_files\mythroad\320x480\gwy/jjfbol,monster7,C:\Users\24231\Desktop\jjfb_pc_vmrp_bootkit\game_files\mythroad\320x480\gwy/jjfbol/monster7.mrp,37,0x7534,0x65,c4ed5a6e4891c0af614a8a74515dfe8991e52aa34bfedacfd903dcff01384b23,0,1
C:\Users\24231\Desktop\jjfb_pc_vmrp_bootkit\game_files\mythroad\320x480\gwy\jjfb.mrp,C:\Users\24231\Desktop\jjfb_pc_vmrp_bootkit\game_files\mythroad\320x480\gwy/jjfbol,monster8,C:\Users\24231\Desktop\jjfb_pc_vmrp_bootkit\game_files\mythroad\320x480\gwy/jjfbol/monster8.mrp,49,0x7534,0x65,309adab4d0f64138a6bebcd654699bc10c9f58c13eb440caa424967d281939d7,0,1
C:\Users\24231\Desktop\jjfb_pc_vmrp_bootkit\game_files\mythroad\320x480\gwy\jjfb.mrp,C:\Users\24231\Desktop\jjfb_pc_vmrp_bootkit\game_files\mythroad\320x480\gwy/jjfbol,monster9,C:\Users\24231\Desktop\jjfb_pc_vmrp_bootkit\game_files\mythroad\320x480\gwy/jjfbol/monster9.mrp,31,0x7534,0x65,a6870e870d8b28d29c81a2be4e4ef392a37dc4952210528f462c14dfdb7ac1c8,0,1
C:\Users\24231\Desktop\jjfb_pc_vmrp_bootkit\game_files\mythroad\320x480\gwy\jjfb.mrp,C:\Users\24231\Desktop\jjfb_pc_vmrp_bootkit\game_files\mythroad\320x480\gwy/jjfbol,mti,C:\Users\24231\Desktop\jjfb_pc_vmrp_bootkit\game_files\mythroad\320x480\gwy/jjfbol/mti.mrp,2,0x7534,0x65,aa20caf7121eecf80c8406e552a6509f847eca0f76992914224b9988c80763ae,0,1
C:\Users\24231\Desktop\jjfb_pc_vmrp_bootkit\game_files\mythroad\320x480\gwy\jjfb.mrp,C:\Users\24231\Desktop\jjfb_pc_vmrp_bootkit\game_files\mythroad\320x480\gwy/jjfbol,newzuojia,C:\Users\24231\Desktop\jjfb_pc_vmrp_bootkit\game_files\mythroad\320x480\gwy/jjfbol/newzuojia.mrp,15,0x7534,0x65,b6ce2dd79b5b8600d879fe255100c4847d2ebebb8779c6e246f5c05a36afbd42,0,1
C:\Users\24231\Desktop\jjfb_pc_vmrp_bootkit\game_files\mythroad\320x480\gwy\jjfb.mrp,C:\Users\24231\Desktop\jjfb_pc_vmrp_bootkit\game_files\mythroad\320x480\gwy/jjfbol,state1,C:\Users\24231\Desktop\jjfb_pc_vmrp_bootkit\game_files\mythroad\320x480\gwy/jjfbol/state1.mrp,3,0x7534,0x65,655570af01d90ab8d861f1da574256818071623e7dd3ea112722a4834ab5c73d,0,1
C:\Users\24231\Desktop\jjfb_pc_vmrp_bootkit\game_files\mythroad\320x480\gwy\jjfb.mrp,C:\Users\24231\Desktop\jjfb_pc_vmrp_bootkit\game_files\mythroad\320x480\gwy/jjfbol,tecbuff,C:\Users\24231\Desktop\jjfb_pc_vmrp_bootkit\game_files\mythroad\320x480\gwy/jjfbol/tecbuff.mrp,2,0x7534,0x65,c278574b84418ed07da91cbaa34878da97aed938150fae1c15d729b42370ce97,0,1
